no.001	이상해씨
no.002	이상해풀
no.003	이상해꽃
no.003	메가이상해꽃
no.004	파이리
no.005	리자드
no.006	리자몽
no.006	메가리자몽X
no.006	메가리자몽Y
no.007	꼬부기
no.008	어니부기
no.009	거북왕
no.009	메가거북왕
no.010	캐터피
no.011	단데기
no.012	버터풀
no.013	뿔충이
no.014	딱충이
no.015	독침붕
no.016	구구
no.017	피죠
no.018	피죤투
no.019	꼬렛
no.020	레트라
no.021	깨비참
no.022	깨비드릴조
no.023	아보
no.024	아보크
no.025	피카츄
no.026	라이츄
no.027	모래두지
no.028	고지
no.029	니드런(♀)
no.030	니드리나
no.031	니드퀸
no.032	니드런(♂)
no.033	니드리노
no.034	니드킹
no.035	삐삐
no.036	픽시
no.037	식스테일
no.038	나인테일
no.039	푸린
no.040	푸크린
no.041	주뱃
no.042	골뱃
no.043	뚜벅쵸
no.044	냄새꼬
no.045	라플레시아
no.046	파라스
no.047	파라섹트
no.048	콘팡
no.049	도나리
no.050	디그다
no.051	닥트리오
no.052	나옹
no.053	페르시온
no.054	고라파덕
no.055	골덕
no.056	망키
no.057	성원숭
no.058	가디
no.059	윈디
no.060	발챙이
no.061	수륙챙이
no.062	강챙이
no.063	캐이시
no.064	윤겔라
no.065	후딘
no.065	메가후딘
no.066	알통몬
no.067	근육몬
no.068	괴력몬
no.069	모다피
no.070	우츠동
no.071	우츠보트
no.072	왕눈해
no.073	독파리
no.074	꼬마돌
no.075	데구리
no.076	딱구리
no.077	포니타
no.078	날쌩마
no.079	야돈
no.080	야도란
no.081	코일
no.082	레어코일
no.083	파오리
no.084	두두
no.085	두트리오
no.086	쥬쥬
no.087	쥬레곤
no.088	질퍽이
no.089	질뻐기
no.090	셀러
no.091	파르셀
no.092	고오스
no.093	고우스트
no.094	팬텀
no.094	메가팬텀
no.095	롱스톤
no.096	슬리프
no.097	슬리퍼
no.098	크랩
no.099	킹크랩
no.100	찌리리공
no.101	붐볼
no.102	아라리
no.103	나시
no.104	탕구리
no.105	텅구리
no.106	시라소몬
no.107	홍수몬
no.108	내루미
no.109	또가스
no.110	또도가스
no.111	뿔카노
no.112	코뿌리
